City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,Shenkursk,62.1091,42.896,34.75,96,87,5.28,RU,2022-04-26 19:09:54
251,Havre-Saint-Pierre,50.2334,-63.5986,39.56,93,100,4.61,CA,2022-04-26 19:09:54
252,Alofi,-19.0595,-169.9187,74.5,89,100,12.19,NU,2022-04-26 19:09:55
253,Belmonte,-15.8631,-38.8828,80.92,70,35,9.06,BR,2022-04-26 19:09:55
254,San Cristobal,7.7669,-72.225,80.78,56,98,2.59,VE,2022-04-26 19:09:56
255,Karratha,-20.7377,116.8463,79.93,57,100,11.95,AU,2022-04-26 19:09:56
256,Bah,26.87,78.5975,90.27,11,0,7.18,IN,2022-04-26 19:07:14
257,Kano,12.0001,8.5167,94.17,15,22,7.47,NG,2022-04-26 19:09:57
258,Baruun-Urt,46.6806,113.2792,32.65,20,100,5.12,MN,2022-04-26 19:09:57
259,Arsk,56.0915,49.8778,54.95,90,100,14.0,RU,2022-04-26 19:09:57
260,Constitucion,-35.3333,-72.4167,52.95,87,100,5.44,CL,2022-04-26 19:09:58
261,Mahanoro,-19.9,48.8,73.33,89,10,6.44,MG,2022-04-26 19:09:58
262,Krasnyy Chikoy,50.3643,108.7512,25.7,46,100,3.56,RU,2022-04-26 19:09:58
263,Maralal,1.0968,36.698,60.94,89,100,6.04,KE,2022-04-26 19:09:59
264,Severo-Kurilsk,50.6789,156.125,29.37,84,61,10.04,RU,2022-04-26 19:08:58
265,Monchegorsk,67.9397,32.8739,17.69,72,100,11.16,RU,2022-04-26 19:09:59
266,Kagadi,0.9606,30.7967,63.5,98,50,2.19,UG,2022-04-26 19:10:00
267,Khomutovo,52.4658,104.4025,27.21,49,61,3.13,RU,2022-04-26 19:10:00
268,Suhbaatar,50.2314,106.2078,31.71,35,99,1.3,MN,2022-04-26 19:10:01
269,Longfeng,46.55,125.1167,38.7,49,2,9.98,CN,2022-04-26 19:10:01
270,Mitoc,48.1,27.0333,54.7,68,80,5.99,RO,2022-04-26 19:10:02
271,Krasnoselkup,65.7,82.4667,14.65,90,87,8.99,RU,2022-04-26 19:07:55
272,Vytegra,61.0064,36.4481,35.96,97,99,5.55,RU,2022-04-26 19:10:03
273,Malatya,38.5,38.0,60.85,39,75,4.61,TR,2022-04-26 19:10:04
274,Raudeberg,61.9875,5.1352,41.67,68,100,25.81,NO,2022-04-26 19:10:05
275,Nabire,-3.3667,135.4833,77.22,89,100,3.76,ID,2022-04-26 19:10:06
276,Novoorsk,51.381,58.9813,55.42,48,13,4.9,RU,2022-04-26 19:10:07
277,Ulaanbaatar,47.9077,106.8832,14.13,57,0,2.24,MN,2022-04-26 19:08:02
278,Nankana Sahib,31.4475,73.6972,85.14,16,0,3.96,PK,2022-04-26 19:08:22
279,Waddan,29.1614,16.139,82.96,12,46,17.09,LY,2022-04-26 19:11:08
280,Sakaiminato,35.55,133.2333,63.99,97,100,10.2,JP,2022-04-26 19:11:08
281,Envira,-7.3,-70.2167,86.88,61,100,1.63,BR,2022-04-26 19:11:09
282,Svetlogorsk,52.6333,29.7333,47.93,81,100,5.86,BY,2022-04-26 19:11:09
283,Tadpatri,14.9167,78.0167,89.65,44,41,9.31,IN,2022-04-26 19:11:10
284,Yamada,39.4667,141.95,63.32,89,100,17.9,JP,2022-04-26 19:11:10
285,Cap Malheureux,-19.9842,57.6142,76.46,76,7,4.0,MU,2022-04-26 19:11:11
286,Burnie,-41.0667,145.9167,56.03,85,100,10.63,AU,2022-04-26 19:11:11
287,Seoul,37.5683,126.9778,60.19,30,0,9.22,KR,2022-04-26 19:10:09
288,Brokopondo,4.75,-55.1667,84.96,68,42,7.0,SR,2022-04-26 19:11:12
289,Surgut,61.25,73.4167,33.98,64,0,8.95,RU,2022-04-26 19:08:12
290,Opotiki,-38.0833,177.2833,50.38,91,18,5.23,NZ,2022-04-26 19:11:13
291,Barrhead,55.7992,-4.3929,52.05,66,100,12.66,GB,2022-04-26 19:11:14
